"","COUNTRY_OF_CITIZENSHIP","state","value"
"431","Brazil","Utah",19
"432","Canada","Utah",11
"433","China","Utah",29
"434","India","Utah",177
"435","Mexico","Utah",16
"436","Pakistan","Utah",3
"437","Philippines","Utah",3
"438","South Korea","Utah",24
"439","UK","Utah",5
"440","Vietnam","Utah",2
"441","Brazil","Vermont",1
"442","Canada","Vermont",7
"443","China","Vermont",3
"444","India","Vermont",56
"445","Mexico","Vermont",0
"446","Pakistan","Vermont",0
"447","Philippines","Vermont",1
"448","South Korea","Vermont",1
"449","UK","Vermont",1
"450","Vietnam","Vermont",1
"451","Brazil","Virginia",17
"452","Canada","Virginia",47
"453","China","Virginia",144
"454","India","Virginia",1513
"455","Mexico","Virginia",39
"456","Pakistan","Virginia",62
"457","Philippines","Virginia",28
"458","South Korea","Virginia",263
"459","UK","Virginia",26
"460","Vietnam","Virginia",18
"461","Brazil","Washington",54
"462","Canada","Washington",418
"463","China","Washington",909
"464","India","Washington",2565
"465","Mexico","Washington",101
"466","Pakistan","Washington",35
"467","Philippines","Washington",13
"468","South Korea","Washington",126
"469","UK","Washington",42
"470","Vietnam","Washington",21
"471","Brazil","West Virginia",0
"472","Canada","West Virginia",5
"473","China","West Virginia",4
"474","India","West Virginia",24
"475","Mexico","West Virginia",2
"476","Pakistan","West Virginia",1
"477","Philippines","West Virginia",2
"478","South Korea","West Virginia",5
"479","UK","West Virginia",0
"480","Vietnam","West Virginia",0
"481","Brazil","Wisconsin",5
"482","Canada","Wisconsin",27
"483","China","Wisconsin",58
"484","India","Wisconsin",329
"485","Mexico","Wisconsin",15
"486","Pakistan","Wisconsin",8
"487","Philippines","Wisconsin",23
"488","South Korea","Wisconsin",120
"489","UK","Wisconsin",4
"490","Vietnam","Wisconsin",73
"491","Brazil","Wyoming",0
"492","Canada","Wyoming",1
"493","China","Wyoming",2
"494","India","Wyoming",9
"495","Mexico","Wyoming",0
"496","Pakistan","Wyoming",0
"497","Philippines","Wyoming",0
"498","South Korea","Wyoming",0
"499","UK","Wyoming",0
"500","Vietnam","Wyoming",0
